z,kinematic_sin,linear_theta,linear_uz,fem_mean_utheta_over_r,fem_theta_fit,fem_mean_uz,fem_mean_J
0.018987341772151899,0.0049708539805272687,0.0049708744518825844,0.0094936708860759497,0.0054635614477233875,0.0055156140680973145,0.010973907801868065,1.3566286772434342
0.056962025316455694,0.014912070634517256,0.014912623355647752,0.028481012658227847,0.013667602041701919,0.01408291301084528,0.027932983320915664,1.3212105775396317
0.0949367088607595,0.02485181341587319,0.024854372259412921,0.04746835443037975,0.021889334342243393,0.022967425952787203,0.045905375076394785,1.2857924778358292
0.13291139240506328,0.034789099904699534,0.034796121163178088,0.066455696202531639,0.030193543313078417,0.032106064979635959,0.064202519930473684,1.2664490124789034
0.17088607594936711,0.044722947923874712,0.044737870066943262,0.085443037974683556,0.038570890099827164,0.041449463256094082,0.082619921867830959,1.2559628771786511
0.20886075949367089,0.054652375636127064,0.054679618970708423,0.10443037974683544,0.047025157571791508,0.05094631797759578,0.10113556567115889,1.2524825194094891
0.24683544303797469,0.064576401641077308,0.064621367874473604,0.12341772151898735,0.055555841512240467,0.060556385983759627,0.11972145512146476,1.2490021616403273
0.2848101265822785,0.074494045072237683,0.074563116778238764,0.14240506329113925,0.064184086165805662,0.070248692717238687,0.13836892965323036,1.24420054815033
0.32278481012658228,0.084404325693958435,0.084504865682003924,0.16139240506329114,0.072865520379185797,0.080001558484384949,0.15704109058054364,1.2410962314542602
0.36075949367088611,0.094306263998311948,0.094446614585769098,0.18037974683544306,0.081595468335531551,0.089795807117579923,0.17573311179644924,1.2401199495857174
0.39873417721518989,0.10419888130190481,0.10438836348953427,0.19936708860759494,0.090363408871346307,0.099618943520205713,0.19443809746915294,1.2391436677171743
0.43670886075949367,0.1140811998426086,0.11433011239329943,0.21835443037974683,0.099167222264956958,0.10946181561228253,0.2131534554599763,1.237948275593485
0.47468354430379744,0.12395224287619945,0.12427186129706459,0.23734177215189872,0.10798595300546103,0.11931841935450849,0.23187295415251699,1.2372289382035266
0.51265822784810133,0.1338110347728971,0.13421361020082978,0.25632911392405067,0.11681575761584985,0.12918401324438786,0.25059572944432468,1.2370147325118985
0.55063291139240511,0.14365660111379366,0.14415535910459495,0.27531645569620256,0.12565078811730246,0.139055712231474,0.26932049095374011,1.23680052682027
0.58860759493670889,0.15348796878716292,0.1540971080083601,0.29430379746835444,0.13448480368031893,0.14893136286969025,0.28804677059581368,1.2365506830733601
0.62658227848101267,0.16330416608464032,0.16403885691212527,0.31329113924050633,0.14625573064705447,0.16210284815525278,0.31301606919482378,1.2364076793228636
0.66455696202531644,0.17310422279726412,0.17398060581589045,0.33227848101265822,0.15507369232462156,0.17198324608937568,0.33174351480716674,1.2363271333002264
0.70253164556962022,0.18288717031136859,0.1839223547196556,0.35126582278481011,0.16388054062535184,0.18186462702182818,0.35047118853497655,1.2363046630046011
0.74050632911392411,0.1926520417043194,0.1938641036234208,0.37025316455696206,0.17267560132592452,0.19174666000696866,0.36919898187592071,1.2362821927089758
0.77848101265822789,0.20239787184008187,0.20380585252718597,0.38924050632911394,0.18145204031739967,0.20162902073778977,0.38792685535264598,1.2362568592622958
0.81645569620253167,0.21212369746461263,0.21374760143095115,0.40822784810126583,0.19021371497102812,0.21151158796016045,0.40665475758677044,1.2362469070087641
0.85443037974683544,0.22182855730106538,0.22368935033471629,0.42721518987341772,0.19895753276323191,0.22139435985143358,0.42538267848802985,1.2362418729098206
0.89240506329113922,0.23151149214480105,0.23363109923848144,0.44620253164556961,0.20768452962131753,0.2312772576815989,0.44411060619973292,1.2362368388108771
0.93037974683544311,0.24117154495819343,0.24357284814224664,0.46518987341772156,0.21638747003811465,0.24116014750883114,0.46283853591197249,1.236233132605919
0.96835443037974689,0.25080776096522012,0.25351459704601181,0.48417721518987344,0.22507186638836948,0.25104304109138786,0.48156646505059925,1.2362304653684484
1.0063291139240507,0.26041918774583045,0.26345634594977696,0.50316455696202533,0.23373380976807123,0.26092601879714777,0.5002943926443254,1.2362299993972174
1.0443037974683547,0.2700048753300805,0.27339809485354222,0.52215189873417733,0.2423754546642268,0.27080903343133439,0.51902231858832426,1.2362295334259867
